scode,ccode,name,region,eu,g7,g20,oecd,asean,global_south,income
PHL,608,Philippines,Asia,0,0,0,0,1,1,2
PNG,598,"Papua New Guinea",Oceania,0,0,0,0,0,1,2
POL,616,Poland,Europe,1,0,0,1,0,0,4
PRT,620,Portugal,Europe,1,0,0,1,0,0,4
PRY,600,Paraguay,Americas,0,0,0,0,0,1,3
ROU,642,Romania,Europe,1,0,0,0,0,0,3
RUS,643,Russia,Europe,0,0,1,0,0,0,3
RWA,646,Rwanda,Africa,0,0,0,0,0,1,1
SAU,682,"Saudi Arabia",Asia,0,0,1,0,0,1,4
SDN,729,Sudan,Africa,0,0,0,0,0,1,1
SEN,686,Senegal,Africa,0,0,0,0,0,1,2
SGP,702,Singapore,Asia,0,0,0,0,1,1,4
SLE,694,"Sierra Leone",Africa,0,0,0,0,0,1,1
SLV,222,"El Salvador",Americas,0,0,0,0,0,1,2
SRB,688,Serbia,Europe,0,0,0,0,0,0,3
STP,678,"São Tomé & Príncipe",Africa,0,0,0,0,0,1,2
SUR,740,Suriname,Americas,0,0,0,0,0,1,3
SVK,703,Slovakia,Europe,1,0,0,1,0,0,4
SVN,705,Slovenia,Europe,1,0,0,1,0,0,4
SWE,752,Sweden,Europe,1,0,0,1,0,0,4
TCD,148,Chad,Africa,0,0,0,0,0,1,1
TGO,768,Togo,Africa,0,0,0,0,0,1,1
THA,764,Thailand,Asia,0,0,0,0,1,1,3
TJK,762,Tajikistan,Asia,0,0,0,0,0,1,2
TLS,626,Timor-Leste,Asia,0,0,0,0,0,1,2
TUN,788,Tunisia,Africa,0,0,0,0,0,1,2
TUR,792,Turkey,Asia,0,0,1,1,0,0,3
TZA,834,Tanzania,Africa,0,0,0,0,0,1,2
UGA,800,Uganda,Africa,0,0,0,0,0,1,1
UKR,804,Ukraine,Europe,0,0,0,0,0,0,2
URY,858,Uruguay,Americas,0,0,0,0,0,1,4
USA,840,"United States",Americas,0,1,1,1,0,0,4
UZB,860,Uzbekistan,Asia,0,0,0,0,0,0,2
VEN,862,Venezuela,Americas,0,0,0,0,0,1,
VNM,704,Vietnam,Asia,0,0,0,0,1,1,2
YEM,887,Yemen,Asia,0,0,0,0,0,1,1
ZAF,710,"South Africa",Africa,0,0,1,0,0,1,3
ZMB,894,Zambia,Africa,0,0,0,0,0,1,2
ZWE,716,Zimbabwe,Africa,0,0,0,0,0,1,2
